feature,mean_abs_shap
pct_1_habitacion,5.0584445
pct_sin_saneamiento,2.5766897
ratio_rural,1.8521693
n_colegios_30km,1.5535817
pct_65ymas,1.271196
pct_hombres,1.2652538
pct_quintil2,1.1379974
pct_sin_pc,1.1143322
pct_quintil1,0.79500806
pct_sin_documento,0.73985887
pct_0a14,0.73125243
pct_sin_celular,0.6500334
pct_cocina_lenna,0.62197363
pct_sin_internet,0.60254216
n_estab_30km,0.59082717
pct_piso_tierra,0.5422186
pct_pea_ocupada,0.4733685
total_pers,0.35099277
habitantes_por_escuela,0.34870377
pct_pei,0.34213284
pct_sin_agua,0.33218113
pct_no_sabe_leer,0.320778
km_colegio,0.3197703
pct_sin_seguro,0.30416209
pct_quintil4,0.30227572
n_iniciales,0.30225465
habitantes_por_estab_salud,0.28777644
indice_aislamiento,0.26453638
sup_tot,0.26189953
pct_30a44,0.25394043
n_operadores_promedio_4g,0.25189286
pct_sin_luz,0.24419506
n_ccpp_osiptel,0.24084978
pct_ccpp_con_3g,0.21784995
pct_quintil5,0.21676223
km_salud_cercano,0.21477215
pct_pea_desocupada,0.21252093
pct_45a64,0.20987566
pct_15a29,0.2052545
km_secundaria,0.2025944
ccpp_atendidos_tambos,0.18716161
num_hog,0.17833382
pct_ccpp_internet_rapido,0.17485085
pct_ccpp_con_2g,0.1733603
habitantes_por_secundaria,0.17102246
km_hospital,0.16996227
pct_quintil3,0.160803
pct_con_sis,0.14701828
n_escuelas_rurales,0.14211853
std_lon_ccpp,0.1262781
habitantes_por_hospital,0.12568256
n_estab_salud,0.122771494
std_lat_ccpp,0.11772682
radio_distrito_km,0.10025828
n_ccpp_distrito,0.09733192
n_escuelas,0.079071574
pct_ccpp_con_4g,0.07606628
n_secundarias,0.06926714
total_estaciones_4g,0.064417034
n_escuelas_regulares,0.059983205
n_primarias,0.059478402
pob_atendida_tambos,0.052920327
pct_rural_escuelas,0.052712955
n_escuelas_publicas,0.04773082
tiene_secundaria,0.011616964
n_tambos,0.009087517
tiene_estab_salud,0.0037353872
tiene_hospital,0.0
n_hospitales,0.0
tiene_tambo,0.0
tiene_4g,0.0
tiene_primaria,0.0
pct_ccpp_con_5g,0.0
